name,length,avg_gradient,steepest_section,elevation_gain,duration,latitude,longitude,url
John F. Kennedylaan vanuit De Euren,De John F. Kennedylaan vanuit De Euren is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de John F. Kennedylaan vanuit De Euren is 2.3%.,De steilste 100 meter van de John F. Kennedylaan vanuit De Euren zijn gemiddeld 3.3%.,De top van de John F. Kennedylaan vanuit De Euren ligt op 149 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:25 over de John F. Kennedylaan vanuit De Euren. Bij 11 km/u is de tijd 00:06:00 en bij 15 km/u 00:04:24. Voor de snelste fietsers is 00:03:28 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/john-f-kennedylaan-de-euren
Provincialeweg vanuit Groot Haasdal,De Provincialeweg vanuit Groot Haasdal is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Provincialeweg vanuit Groot Haasdal is 3.2%.,De steilste 100 meter van de Provincialeweg vanuit Groot Haasdal zijn gemiddeld 4.8%.,De top van de Provincialeweg vanuit Groot Haasdal ligt op 139 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:26 over de Provincialeweg vanuit Groot Haasdal. Bij 11 km/u is de tijd 00:02:11 en bij 15 km/u 00:01:36. Voor de snelste fietsers is 00:01:15 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/provincialeweg-groot-haasdal
Jagermeesterlaan via Hertog van Gelrestraat,De Jagermeesterlaan via Hertog van Gelrestraat is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Jagermeesterlaan via Hertog van Gelrestraat is 4.1%.,De steilste 100 meter van de Jagermeesterlaan via Hertog van Gelrestraat zijn gemiddeld 6.4%.,De top van de Jagermeesterlaan via Hertog van Gelrestraat ligt op 48 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:12 over de Jagermeesterlaan via Hertog van Gelrestraat. Bij 11 km/u is de tijd 00:02:40 en bij 15 km/u 00:01:57. Voor de snelste fietsers is 00:01:33 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/jagermeesterlaan-hertog-van-gelrestraat
Bachlaan vanuit Dalweg,De Bachlaan vanuit Dalweg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Bachlaan vanuit Dalweg is 2.9%.,De steilste 100 meter van de Bachlaan vanuit Dalweg zijn gemiddeld 5.5%.,De top van de Bachlaan vanuit Dalweg ligt op 56 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:38 over de Bachlaan vanuit Dalweg. Bij 11 km/u is de tijd 00:02:57 en bij 15 km/u 00:02:09. Voor de snelste fietsers is 00:01:42 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bachlaan-dalweg
Stationsstraat via Doctor Calsstraat,De Stationsstraat via Doctor Calsstraat is 1.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Stationsstraat via Doctor Calsstraat is 2.1%.,De steilste 100 meter van de Stationsstraat via Doctor Calsstraat zijn gemiddeld 5.1%.,De top van de Stationsstraat via Doctor Calsstraat ligt op 151 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:15:15 over de Stationsstraat via Doctor Calsstraat. Bij 11 km/u is de tijd 00:09:42 en bij 15 km/u 00:07:07. Voor de snelste fietsers is 00:05:37 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/stationsstraat-doctor-calsstraat
Dalestraat,De Dalestraat is 0.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Dalestraat is 4.3%.,De steilste 100 meter van de Dalestraat zijn gemiddeld 5.4%.,De top van de Dalestraat ligt op 184 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:01:58 over de Dalestraat. Bij 11 km/u is de tijd 00:01:15 en bij 15 km/u 00:00:55. Voor de snelste fietsers is 00:00:43 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/dalestraat
Molenberg vanuit Molenberglaan via Justus van Maurikstraat,De Molenberg vanuit Molenberglaan via Justus van Maurikstraat is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Molenberg vanuit Molenberglaan via Justus van Maurikstraat is 4.2%.,De steilste 100 meter van de Molenberg vanuit Molenberglaan via Justus van Maurikstraat zijn gemiddeld 5.9%.,De top van de Molenberg vanuit Molenberglaan via Justus van Maurikstraat ligt op 147 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:49 over de Molenberg vanuit Molenberglaan via Justus van Maurikstraat. Bij 11 km/u is de tijd 00:03:04 en bij 15 km/u 00:02:15. Voor de snelste fietsers is 00:01:46 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/molenberg-molenberglaan-justus-van-maurikstraat
De Jufferweg via Achter den Put,De De Jufferweg via Achter den Put is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de De Jufferweg via Achter den Put is 4.6%.,De steilste 100 meter van de De Jufferweg via Achter den Put zijn gemiddeld 6.7%.,De top van de De Jufferweg via Achter den Put ligt op 132 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:48 over de De Jufferweg via Achter den Put. Bij 11 km/u is de tijd 00:01:47 en bij 15 km/u 00:01:18. Voor de snelste fietsers is 00:01:01 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/de-jufferweg-achter-den-put
Hopelerweg via Mensheggerweg,De Hopelerweg via Mensheggerweg is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Hopelerweg via Mensheggerweg is 3%.,De steilste 100 meter van de Hopelerweg via Mensheggerweg zijn gemiddeld 5.4%.,De top van de Hopelerweg via Mensheggerweg ligt op 142 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:01 over de Hopelerweg via Mensheggerweg. Bij 11 km/u is de tijd 00:04:28 en bij 15 km/u 00:03:16. Voor de snelste fietsers is 00:02:35 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hopelerweg-mensheggerweg
Seffenterstraat via Sneeuwberglaan,De Seffenterstraat via Sneeuwberglaan is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Seffenterstraat via Sneeuwberglaan is 3.7%.,De steilste 100 meter van de Seffenterstraat via Sneeuwberglaan zijn gemiddeld 4.7%.,De top van de Seffenterstraat via Sneeuwberglaan ligt op 202 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:43 over de Seffenterstraat via Sneeuwberglaan. Bij 11 km/u is de tijd 00:03:00 en bij 15 km/u 00:02:12. Voor de snelste fietsers is 00:01:44 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/seffenterstraat-sneeuwberglaan
Baneheide,De Baneheide is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Baneheide is 3.1%.,De steilste 100 meter van de Baneheide zijn gemiddeld 4.7%.,De top van de Baneheide ligt op 179 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:15 over de Baneheide. Bij 11 km/u is de tijd 00:03:20 en bij 15 km/u 00:02:27. Voor de snelste fietsers is 00:01:56 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/baneheide
Nieuwstraat via Emmastraat,De Nieuwstraat via Emmastraat is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Nieuwstraat via Emmastraat is 2.2%.,De steilste 100 meter van de Nieuwstraat via Emmastraat zijn gemiddeld 3.3%.,De top van de Nieuwstraat via Emmastraat ligt op 158 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:32 over de Nieuwstraat via Emmastraat. Bij 11 km/u is de tijd 00:04:10 en bij 15 km/u 00:03:03. Voor de snelste fietsers is 00:02:24 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/verdistraat-emmastraat
Allee vanuit Kasteel Wijnandsrade,De Allee vanuit Kasteel Wijnandsrade is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Allee vanuit Kasteel Wijnandsrade is 3.2%.,De steilste 100 meter van de Allee vanuit Kasteel Wijnandsrade zijn gemiddeld 4.7%.,De top van de Allee vanuit Kasteel Wijnandsrade ligt op 100 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:57 over de Allee vanuit Kasteel Wijnandsrade. Bij 11 km/u is de tijd 00:01:52 en bij 15 km/u 00:01:22. Voor de snelste fietsers is 00:01:05 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/allee-kasteel-wijnandsrade
Heugdenweg vanuit Etenaken,De Heugdenweg vanuit Etenaken is 2.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Heugdenweg vanuit Etenaken is 3.6%.,De steilste 100 meter van de Heugdenweg vanuit Etenaken zijn gemiddeld 8.5%.,De top van de Heugdenweg vanuit Etenaken ligt op 174 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:19:18 over de Heugdenweg vanuit Etenaken. Bij 11 km/u is de tijd 00:12:17 en bij 15 km/u 00:09:00. Voor de snelste fietsers is 00:07:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/heugdenweg-etenaken
Prinsenberg vanuit Scheveningen,De Prinsenberg vanuit Scheveningen is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Prinsenberg vanuit Scheveningen is 3.5%.,De steilste 100 meter van de Prinsenberg vanuit Scheveningen zijn gemiddeld 4.3%.,De top van de Prinsenberg vanuit Scheveningen ligt op 16 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:34 over de Prinsenberg vanuit Scheveningen. Bij 11 km/u is de tijd 00:01:38 en bij 15 km/u 00:01:12. Voor de snelste fietsers is 00:00:56 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/prinsenweg-scheveningen
Voerweg vanuit Waalkade,De Voerweg vanuit Waalkade is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Voerweg vanuit Waalkade is 3.7%.,De steilste 100 meter van de Voerweg vanuit Waalkade zijn gemiddeld 5.7%.,De top van de Voerweg vanuit Waalkade ligt op 32 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:39 over de Voerweg vanuit Waalkade. Bij 11 km/u is de tijd 00:02:57 en bij 15 km/u 00:02:10. Voor de snelste fietsers is 00:01:42 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/voerweg-waalkade
Randweg via Pastoorskuilenweg,De Randweg via Pastoorskuilenweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Randweg via Pastoorskuilenweg is 3.2%.,De steilste 100 meter van de Randweg via Pastoorskuilenweg zijn gemiddeld 5.3%.,De top van de Randweg via Pastoorskuilenweg ligt op 112 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:48 over de Randweg via Pastoorskuilenweg. Bij 11 km/u is de tijd 00:04:58 en bij 15 km/u 00:03:38. Voor de snelste fietsers is 00:02:52 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/randweg-pastoorskuilenweg
Belmontelaan via Ritzema Bosweg,De Belmontelaan via Ritzema Bosweg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Belmontelaan via Ritzema Bosweg is 2.5%.,De steilste 100 meter van de Belmontelaan via Ritzema Bosweg zijn gemiddeld 4.7%.,De top van de Belmontelaan via Ritzema Bosweg ligt op 43 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:03 over de Belmontelaan via Ritzema Bosweg. Bij 11 km/u is de tijd 00:02:35 en bij 15 km/u 00:01:53. Voor de snelste fietsers is 00:01:29 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/belmontelaan-ritzema-bosweg
Pietersberg via Bildersweg,De Pietersberg via Bildersweg is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Pietersberg via Bildersweg is 6.5%.,De steilste 100 meter van de Pietersberg via Bildersweg zijn gemiddeld 10.6%.,De top van de Pietersberg via Bildersweg ligt op 56 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:08 over de Pietersberg via Bildersweg. Bij 11 km/u is de tijd 00:03:16 en bij 15 km/u 00:02:24. Voor de snelste fietsers is 00:01:53 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/pietersberg-bildersweg
Johannahoeve,De Johannahoeve is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Johannahoeve is 3.8%.,De steilste 100 meter van de Johannahoeve zijn gemiddeld 8%.,De top van de Johannahoeve ligt op 63 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:13 over de Johannahoeve. Bij 11 km/u is de tijd 00:02:41 en bij 15 km/u 00:01:58. Voor de snelste fietsers is 00:01:33 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/johannahoeve
Bergstraat via Dalestraat,De Bergstraat via Dalestraat is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Bergstraat via Dalestraat is 3.8%.,De steilste 100 meter van de Bergstraat via Dalestraat zijn gemiddeld 5.5%.,De top van de Bergstraat via Dalestraat ligt op 185 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:37 over de Bergstraat via Dalestraat. Bij 11 km/u is de tijd 00:01:40 en bij 15 km/u 00:01:13. Voor de snelste fietsers is 00:00:57 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bergstraat-dalestraat
Lunterse Bosweg via Goorsteeg,De Lunterse Bosweg via Goorsteeg is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Lunterse Bosweg via Goorsteeg is 2%.,De steilste 100 meter van de Lunterse Bosweg via Goorsteeg zijn gemiddeld 3.9%.,De top van de Lunterse Bosweg via Goorsteeg ligt op 38 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:12 over de Lunterse Bosweg via Goorsteeg. Bij 11 km/u is de tijd 00:06:29 en bij 15 km/u 00:04:45. Voor de snelste fietsers is 00:03:45 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/lunterse-bosweg-goorsteeg
Rozendaalselaan vanuit Velp,De Rozendaalselaan vanuit Velp is 1.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Rozendaalselaan vanuit Velp is 1.6%.,De steilste 100 meter van de Rozendaalselaan vanuit Velp zijn gemiddeld 4%.,De top van de Rozendaalselaan vanuit Velp ligt op 40 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:46 over de Rozendaalselaan vanuit Velp. Bij 11 km/u is de tijd 00:06:51 en bij 15 km/u 00:05:01. Voor de snelste fietsers is 00:03:58 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rosendaalselaan-velp
Laan van Eikenhof,De Laan van Eikenhof is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Laan van Eikenhof is 3%.,De steilste 100 meter van de Laan van Eikenhof zijn gemiddeld 7.6%.,De top van de Laan van Eikenhof ligt op 81 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:03 over de Laan van Eikenhof. Bij 11 km/u is de tijd 00:03:13 en bij 15 km/u 00:02:21. Voor de snelste fietsers is 00:01:51 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/laan-van-eikenhof
Wilhelminaberg via Mijnsteenpad,De Wilhelminaberg via Mijnsteenpad is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Wilhelminaberg via Mijnsteenpad is 9.8%.,De steilste 100 meter van de Wilhelminaberg via Mijnsteenpad zijn gemiddeld 13.3%.,De top van de Wilhelminaberg via Mijnsteenpad ligt op 220 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:11 over de Wilhelminaberg via Mijnsteenpad. Bij 11 km/u is de tijd 00:03:56 en bij 15 km/u 00:02:53. Voor de snelste fietsers is 00:02:16 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/wilhelminaberg-mijnsteenpad
Krimweg vanuit De Krim,De Krimweg vanuit De Krim is 1.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Krimweg vanuit De Krim is 1.7%.,De steilste 100 meter van de Krimweg vanuit De Krim zijn gemiddeld 4.4%.,De top van de Krimweg vanuit De Krim ligt op 81 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:12:15 over de Krimweg vanuit De Krim. Bij 11 km/u is de tijd 00:07:48 en bij 15 km/u 00:05:43. Voor de snelste fietsers is 00:04:31 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/krimweg-de-krim
Hereweg,De Hereweg is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Hereweg is 2.8%.,De steilste 100 meter van de Hereweg zijn gemiddeld 4.2%.,De top van de Hereweg ligt op 164 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:34 over de Hereweg. Bij 11 km/u is de tijd 00:02:54 en bij 15 km/u 00:02:08. Voor de snelste fietsers is 00:01:41 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hereweg
Eikendermolenweg vanuit Geleenbeekdal,De Eikendermolenweg vanuit Geleenbeekdal is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Eikendermolenweg vanuit Geleenbeekdal is 4.1%.,De steilste 100 meter van de Eikendermolenweg vanuit Geleenbeekdal zijn gemiddeld 6.8%.,De top van de Eikendermolenweg vanuit Geleenbeekdal ligt op 103 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:57 over de Eikendermolenweg vanuit Geleenbeekdal. Bij 11 km/u is de tijd 00:01:52 en bij 15 km/u 00:01:22. Voor de snelste fietsers is 00:01:05 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/eikendermolenweg-geleenbeekdal
Van Slichtenhorststraat via Van Hasseltstraat,De Van Slichtenhorststraat via Van Hasseltstraat is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Van Slichtenhorststraat via Van Hasseltstraat is 3.3%.,De steilste 100 meter van de Van Slichtenhorststraat via Van Hasseltstraat zijn gemiddeld 4.6%.,De top van de Van Slichtenhorststraat via Van Hasseltstraat ligt op 40 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:44 over de Van Slichtenhorststraat via Van Hasseltstraat. Bij 11 km/u is de tijd 00:02:22 en bij 15 km/u 00:01:44. Voor de snelste fietsers is 00:01:22 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/van-slichtenhorststraat-van-hasseltstraat
Langeberg via Heidserpark,De Langeberg via Heidserpark is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Langeberg via Heidserpark is 5.8%.,De steilste 100 meter van de Langeberg via Heidserpark zijn gemiddeld 7.5%.,De top van de Langeberg via Heidserpark ligt op 108 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:12 over de Langeberg via Heidserpark. Bij 11 km/u is de tijd 00:01:24 en bij 15 km/u 00:01:01. Voor de snelste fietsers is 00:00:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/langeberg-heidserpark
Nijswillerberg via Gaasstraat,De Nijswillerberg via Gaasstraat is 1.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Nijswillerberg via Gaasstraat is 2.7%.,De steilste 100 meter van de Nijswillerberg via Gaasstraat zijn gemiddeld 4.9%.,De top van de Nijswillerberg via Gaasstraat ligt op 172 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:49 over de Nijswillerberg via Gaasstraat. Bij 11 km/u is de tijd 00:06:53 en bij 15 km/u 00:05:02. Voor de snelste fietsers is 00:03:59 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/nijswillerberg-gaasstraat
Lange Raarberg via Kuileneindestraat,De Lange Raarberg via Kuileneindestraat is 1.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Lange Raarberg via Kuileneindestraat is 3.7%.,De steilste 100 meter van de Lange Raarberg via Kuileneindestraat zijn gemiddeld 5.8%.,De top van de Lange Raarberg via Kuileneindestraat ligt op 126 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:14:00 over de Lange Raarberg via Kuileneindestraat. Bij 11 km/u is de tijd 00:08:54 en bij 15 km/u 00:06:32. Voor de snelste fietsers is 00:05:09 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/lange-raarberg-kuileneindestraat
Burelhul vanuit Gerritsflesch,De Burelhul vanuit Gerritsflesch is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Burelhul vanuit Gerritsflesch is 3%.,De steilste 100 meter van de Burelhul vanuit Gerritsflesch zijn gemiddeld 5.1%.,De top van de Burelhul vanuit Gerritsflesch ligt op 70 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:22 over de Burelhul vanuit Gerritsflesch. Bij 11 km/u is de tijd 00:04:03 en bij 15 km/u 00:02:58. Voor de snelste fietsers is 00:02:20 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/burelhul-gerritsflesch
Krimweg vanuit Beekbergen,De Krimweg vanuit Beekbergen is 1.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Krimweg vanuit Beekbergen is 2%.,De steilste 100 meter van de Krimweg vanuit Beekbergen zijn gemiddeld 4.1%.,De top van de Krimweg vanuit Beekbergen ligt op 78 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:13:31 over de Krimweg vanuit Beekbergen. Bij 11 km/u is de tijd 00:08:36 en bij 15 km/u 00:06:18. Voor de snelste fietsers is 00:04:58 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/krimweg-beekbergen
Parklaan,De Parklaan is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Parklaan is 6.5%.,De steilste 100 meter van de Parklaan zijn gemiddeld 9.9%.,De top van de Parklaan ligt op 132 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:42 over de Parklaan. Bij 11 km/u is de tijd 00:01:43 en bij 15 km/u 00:01:15. Voor de snelste fietsers is 00:00:59 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/parklaan
Keizer Willempad,De Keizer Willempad is 0.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Keizer Willempad is 6%.,De steilste 100 meter van de Keizer Willempad zijn gemiddeld 8.3%.,De top van de Keizer Willempad ligt op 92 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:01:23 over de Keizer Willempad. Bij 11 km/u is de tijd 00:00:53 en bij 15 km/u 00:00:39. Voor de snelste fietsers is 00:00:30 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/keizer-willempad
Aletta Jacobsstraat via Bongaertslaan,De Aletta Jacobsstraat via Bongaertslaan is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Aletta Jacobsstraat via Bongaertslaan is 3.4%.,De steilste 100 meter van de Aletta Jacobsstraat via Bongaertslaan zijn gemiddeld 4.2%.,De top van de Aletta Jacobsstraat via Bongaertslaan ligt op 140 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:07 over de Aletta Jacobsstraat via Bongaertslaan. Bij 11 km/u is de tijd 00:03:15 en bij 15 km/u 00:02:23. Voor de snelste fietsers is 00:01:53 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/aletta-jacobsstraat-bongaertslaan
Maastrichterweg vanuit Hoogcruts,De Maastrichterweg vanuit Hoogcruts is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Maastrichterweg vanuit Hoogcruts is 2.6%.,De steilste 100 meter van de Maastrichterweg vanuit Hoogcruts zijn gemiddeld 6%.,De top van de Maastrichterweg vanuit Hoogcruts ligt op 212 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:45 over de Maastrichterweg vanuit Hoogcruts. Bij 11 km/u is de tijd 00:05:34 en bij 15 km/u 00:04:05. Voor de snelste fietsers is 00:03:13 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/maastrichterweg-hoogcruts
Heideveldweg vanuit Heerlerheide,De Heideveldweg vanuit Heerlerheide is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Heideveldweg vanuit Heerlerheide is 5%.,De steilste 100 meter van de Heideveldweg vanuit Heerlerheide zijn gemiddeld 7.7%.,De top van de Heideveldweg vanuit Heerlerheide ligt op 121 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:35 over de Heideveldweg vanuit Heerlerheide. Bij 11 km/u is de tijd 00:02:17 en bij 15 km/u 00:01:40. Voor de snelste fietsers is 00:01:19 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/heideveldweg-heerlerheide
Houbiersstraat,De Houbiersstraat is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Houbiersstraat is 7.1%.,De steilste 100 meter van de Houbiersstraat zijn gemiddeld 10.8%.,De top van de Houbiersstraat ligt op 174 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:49 over de Houbiersstraat. Bij 11 km/u is de tijd 00:02:26 en bij 15 km/u 00:01:47. Voor de snelste fietsers is 00:01:24 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/houbiersstraat
Wolfskuilenweg,De Wolfskuilenweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Wolfskuilenweg is 5%.,De steilste 100 meter van de Wolfskuilenweg zijn gemiddeld 6.8%.,De top van de Wolfskuilenweg ligt op 212 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:34 over de Wolfskuilenweg. Bij 11 km/u is de tijd 00:02:16 en bij 15 km/u 00:01:40. Voor de snelste fietsers is 00:01:19 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/wolfskuilenweg
Amersfoortse Berg via Surinamelaan,De Amersfoortse Berg via Surinamelaan is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Amersfoortse Berg via Surinamelaan is 4.6%.,De steilste 100 meter van de Amersfoortse Berg via Surinamelaan zijn gemiddeld 6.2%.,De top van de Amersfoortse Berg via Surinamelaan ligt op 42 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:57 over de Amersfoortse Berg via Surinamelaan. Bij 11 km/u is de tijd 00:03:09 en bij 15 km/u 00:02:18. Voor de snelste fietsers is 00:01:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/amersfoortse-berg-surinamelaan
Bredeweg via Grotestraat,De Bredeweg via Grotestraat is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Bredeweg via Grotestraat is 2.5%.,De steilste 100 meter van de Bredeweg via Grotestraat zijn gemiddeld 5.4%.,De top van de Bredeweg via Grotestraat ligt op 188 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:53 over de Bredeweg via Grotestraat. Bij 11 km/u is de tijd 00:03:44 en bij 15 km/u 00:02:44. Voor de snelste fietsers is 00:02:10 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bredeweg-grootestraat
Bredeweg vanuit Terhorst,De Bredeweg vanuit Terhorst is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Bredeweg vanuit Terhorst is 2.9%.,De steilste 100 meter van de Bredeweg vanuit Terhorst zijn gemiddeld 7.8%.,De top van de Bredeweg vanuit Terhorst ligt op 187 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:44 over de Bredeweg vanuit Terhorst. Bij 11 km/u is de tijd 00:03:38 en bij 15 km/u 00:02:40. Voor de snelste fietsers is 00:02:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bredeweg-terhorst
